Comment,Designator,Footprint,LCSC
100n/25V,"C1,C4",C_0603_1608Metric,C14663
10u/25V,"C2,C3,C7,C8",C_0805_2012Metric,C15850
FXL0530-2R2-M,L1,L_Sunlord_MWSA0518_5.4x5.2mm,C177247
1K,"R5,R7",R_0603_1608Metric,C21190
1R,"R13,R14,R6",R_0603_1608Metric,C22936
5.1K,"R1,R2,R3",R_0603_1608Metric,C23186
51K,R11,R_0603_1608Metric,C23196
120K,"R12,R17,R8",R_0603_1608Metric,C25808
IP2326,U1,HVQFN-24-1EP_4x4mm_P0.5mm_EP2.5x2.5mm,C2832094
USB_C_Receptacle_USB2.0,J1,USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,C2988369
22u/25V,"C5,C6",C_0805_2012Metric,C45783
BLM18KG121TN1D,FB1,L_0603_1608Metric,C85831
NC,R4,R_0603_1608Metric,
BAT-,TP2,SPRING-CONTACT,
NC,R9,R_0603_1608Metric,
BAT+,TP1,SPRING-CONTACT,
NC,R10,R_0603_1608Metric,
LEDG,TP3,TestPoint_THTPad_2.0x2.0mm_Drill1.0mm,
LEDCOM,TP4,TestPoint_THTPad_2.0x2.0mm_Drill1.0mm,
LEDR,TP5,TestPoint_THTPad_2.0x2.0mm_Drill1.0mm,
ToolingHole,H2,TOOLING-HOLE,
ToolingHole,H1,TOOLING-HOLE,
NC,R16,R_0603_1608Metric,
NC,R15,R_0603_1608Metric,
ISET,JP1,SolderJumper-2_P1.3mm_Open_TrianglePad1.0x1.5mm,
