Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100n/25V,C_0603_1608Metric,110.75,-96.0,90.0,top
C2,10u/25V,C_0805_2012Metric,118.0,-96.0,90.0,top
C3,10u/25V,C_0805_2012Metric,116.0,-106.7,0.0,top
C4,100n/25V,C_0603_1608Metric,119.0,-100.0,-90.0,top
C5,22u/25V,C_0805_2012Metric,122.0,-106.0,-90.0,top
C6,22u/25V,C_0805_2012Metric,120.0,-106.0,-90.0,top
C7,10u/25V,C_0805_2012Metric,124.0,-106.0,-90.0,top
C8,10u/25V,C_0805_2012Metric,126.0,-106.0,-90.0,top
FB1,BLM18KG121TN1D,L_0603_1608Metric,112.75,-96.0,-90.0,top
J1,USB_C_Receptacle_USB2.0,USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,119.5,-85.56,180.0,top
L1,FXL0530-2R2-M,L_Sunlord_MWSA0518_5.4x5.2mm,115.0,-102.0,90.0,top
R1,5.1K,R_0603_1608Metric,113.0,-87.5,-90.0,top
R2,5.1K,R_0603_1608Metric,126.0,-87.5,-90.0,top
R3,5.1K,R_0603_1608Metric,115.25,-93.75,0.0,top
R5,1K,R_0603_1608Metric,138.0,-123.0,90.0,top
R6,1R,R_0603_1608Metric,115.25,-96.75,0.0,top
R7,1K,R_0603_1608Metric,127.5,-96.0,-90.0,top
R8,120K,R_0603_1608Metric,126.0,-96.0,-90.0,top
R11,51K,R_0603_1608Metric,128.0,-98.75,0.0,top
R12,120K,R_0603_1608Metric,120.0,-96.0,-90.0,top
R13,1R,R_0603_1608Metric,115.25,-95.25,0.0,top
R14,1R,R_0603_1608Metric,130.5,-102.5,-90.0,top
R17,120K,R_0603_1608Metric,121.5,-96.0,-90.0,top
U1,IP2326,HVQFN-24-1EP_4x4mm_P0.5mm_EP2.5x2.5mm,123.0,-101.0,90.0,top
